Profil plat :

Chaque échantillon compte pour 0.01 seconds.
  %    cumulatif   auto              auto     total           
temps   seconds   seconds   appels  s/appel  s/appel  nom     
[4]     20.6    0.00    8.88     287         calcul_rates_molecules(std::vector<Internal_state, std::allocator<Internal_state> >&, MC_algorithmes, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, int, int, FitParams&) [4]
                0.01    7.46    5481/5481        rates_molecule(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, double&, FitParams&, bool) [6]
                0.01    1.40    5481/5481        rates_molecule_spon(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, Molecule const&, Field const&, Field const&, int, FitParams&) [15]
                0.00    0.00   22106/916574      Internal_state::~Internal_state() [233]
-----------------------------------------------
                0.23    1.18    5481/32886       rates_molecule_spon(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, Molecule const&, Field const&, Field const&, int, FitParams&) [15]
                1.13    5.88   27405/32886       rates_molecule(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, double&, FitParams&, bool) [6]
[5]     19.5    1.36    7.05   32886         Diagonalization(std::vector<Internal_state, std::allocator<Internal_state> >&, Molecule const&, Field const&, Field const&, FitParams&, Eigen::SelfAdjointEigenSolver<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*) [5]
                1.57    5.34 33708150/33708150     dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
                0.07    0.00 33675264/33675264     operator*(Vecteur3D const&, double) [30]
                0.06    0.00 33675264/102792748     operator/(Vecteur3D const&, double) [29]
                0.01    0.00  559062/559062      Eigen::PlainObjectBase<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >::resize(long long, long long) [48]
                0.00    0.00   65772/824222      Field::get_Field(Vecteur3D const&) const [37]
                0.00    0.00  394632/394632      void Eigen::internal::evaluateProductBlockingSizesHeuristic<std::complex<double>, std::complex<double>, 1, long long>(long long&, long long&, long long&, long long) [238]
                0.00    0.00  394632/35220910     DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [232]
                0.00    0.00   32886/423631      operator+(Vecteur3D const&, Vecteur3D const&) [236]
-----------------------------------------------
                0.01    7.46    5481/5481        calcul_rates_molecules(std::vector<Internal_state, std::allocator<Internal_state> >&, MC_algorithmes, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, int, int, FitParams&) [4]
[6]     17.3    0.01    7.46    5481         rates_molecule(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, double&, FitParams&, bool) [6]
                1.13    5.88   27405/32886       Diagonalization(std::vector<Internal_state, std::allocator<Internal_state> >&, Molecule const&, Field const&, Field const&, FitParams&, Eigen::SelfAdjointEigenSolver<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*) [5]
                0.06    0.39  339822/339822      rates_single_molecule_laser_level(int, double, double&, double&, double&, double*, std::vector<Internal_state, std::allocator<Internal_state> >&, Internal_state&, Internal_state&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, Laser const&, double, double&, FitParams&, bool, int, int, int, double, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*) [23]
                0.00    0.00    5481/712253      FitParams::LocateParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [28]
                0.00    0.00    5481/345303      Gamma_Level_from_diagonalized_dipole(std::vector<Internal_state, std::allocator<Internal_state> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*, int) [31]
                0.00    0.00   10962/824222      Field::get_Field(Vecteur3D const&) const [37]
                0.00    0.00   10962/350784      Laser::wave_vector() const [49]
                0.00    0.00   10962/899966      Internal_state::Internal_state(Internal_state const&) [43]
                0.00    0.00   21924/102792748     operator/(Vecteur3D const&, double) [29]
                0.00    0.00   21924/412890      operator*(double, Vecteur3D const&) [237]
                0.00    0.00   16443/916574      Internal_state::~Internal_state() [233]
                0.00    0.00   10962/16737       Internal_state::Internal_state() [250]
                0.00    0.00   10962/11539       Laser::Laser(Laser const&) [252]
                0.00    0.00   10962/12113       Laser::~Laser() [251]
                0.00    0.00   10962/373744      operator-(Vecteur3D const&, Vecteur3D const&) [239]
                0.00    0.00   10962/423631      operator+(Vecteur3D const&, Vecteur3D const&) [236]
                0.00    0.00   10962/21924       Eigen::DenseStorage<double, -1, -1, 1, 0>::~DenseStorage() [249]
                0.00    0.00    5481/600640      Atome::Atome(Atome const&) [235]
                0.00    0.00    5481/10962       Eigen::DenseStorage<std::complex<double>, -1, -1, -1, 0>::~DenseStorage() [255]
                0.00    0.00    5481/606361      Molecule::~Molecule() [234]
-----------------------------------------------
[7]     16.0    1.57    5.34 33708150+2071818 <cycle 1 en entier> [7]
                0.70    3.76 34694730             dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
                0.00    1.58   32886             void Eigen::internal::tridiagonalization_inplace_selector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, true>::run<Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, bool) <cycle 1> [14]
                0.85    0.00 1019466             void Eigen::MatrixBase<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false> >::applyHouseholderOnTheLeft<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, -1, 1, false> >(Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, -1, 1, false> const&, std::complex<double> const&, std::complex<double>*) <cycle 1> [18]
                0.02    0.00   32886             void Eigen::HouseholderSequence<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::CwiseUnaryOp<Eigen::internal::scalar_conjugate_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const>, 1>::evalTo<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) const <cycle 1> [42]
-----------------------------------------------
                              986580             void Eigen::MatrixBase<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false> >::applyHouseholderOnTheLeft<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, -1, 1, false> >(Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, -1, 1, false> const&, std::complex<double> const&, std::complex<double>*) <cycle 1> [18]
                1.57    5.34 33708150/33708150     Diagonalization(std::vector<Internal_state, std::allocator<Internal_state> >&, Molecule const&, Field const&, Field const&, FitParams&, Eigen::SelfAdjointEigenSolver<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*) [5]
[8]     10.3    0.70    3.76 34694730         dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
                1.81    0.00   32886/32886       Eigen::ComputationInfo Eigen::internal::computeFromTridiagonal_impl<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, long long, bool, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&) [11]
                0.86    0.53 67350528/67350529     Euler_angles(Vecteur3D) [16]
                0.56    0.00  986580/986580      Eigen::internal::general_matrix_vector_product<long long, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 1>, 1, false, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 0>, true, 0>::run(long long, long long, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 1> const&, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 0> const&, std::complex<double>*, long long, std::complex<double>) [21]
                               32886             void Eigen::internal::tridiagonalization_inplace_selector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, true>::run<Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, bool) <cycle 1> [14]
-----------------------------------------------
                                                 <spontanés>
[9]      9.2    3.97    0.00                 __cosl_internal [9]
-----------------------------------------------
                                                 <spontanés>
[10]     9.0    3.89    0.00                 __sinl_internal [10]
-----------------------------------------------
                1.81    0.00   32886/32886       dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
[11]     4.2    1.81    0.00   32886         Eigen::ComputationInfo Eigen::internal::computeFromTridiagonal_impl<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, long long, bool, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&) [11]
-----------------------------------------------
                                                 <spontanés>
[12]     4.0    1.74    0.00                 _mcount_private [12]
-----------------------------------------------
                0.30    1.28   32886/32886       void Eigen::internal::tridiagonalization_inplace_selector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, true>::run<Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, bool) <cycle 1> [14]
[13]     3.7    0.30    1.28   32886         void Eigen::internal::tridiagonalization_inplace<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) [13]
                0.79    0.00 1019466/1019466     Eigen::internal::selfadjoint_rank2_update_selector<std::complex<double>, long long, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false>, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false>, 1>::run(std::complex<double>*, long long, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const&, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false> const&, std::complex<double> const&) [19]
                0.00    0.44 1019466/1019466     void Eigen::internal::selfadjoint_product_impl<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false>, 17, false, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<std::complex<double>, std::complex<double> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const>, 0, true>::run<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false> >(Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false>&, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false> const&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<std::complex<double>, std::complex<double> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const> const&, std::complex<double> const&) [24]
                0.00    0.05 1019466/1019466     Eigen::MatrixBase<Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> >::makeHouseholderInPlace(std::complex<double>&, double&) [33]
                0.00    0.00 1019466/35220910     DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [232]
-----------------------------------------------
                               32886             dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
[14]     3.7    0.00    1.58   32886         void Eigen::internal::tridiagonalization_inplace_selector<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, true>::run<Eigen::Matrix<double, -1, 1, 0, -1, 1>, Eigen::Matrix<double, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, Eigen::Matrix<double, -1, 1, 0, -1, 1>&, bool) <cycle 1> [14]
                0.30    1.28   32886/32886       void Eigen::internal::tridiagonalization_inplace<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) [13]
                               32886             void Eigen::HouseholderSequence<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::CwiseUnaryOp<Eigen::internal::scalar_conjugate_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const>, 1>::evalTo<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) const <cycle 1> [42]
-----------------------------------------------
                0.01    1.40    5481/5481        calcul_rates_molecules(std::vector<Internal_state, std::allocator<Internal_state> >&, MC_algorithmes, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, int, int, FitParams&) [4]
[15]     3.3    0.01    1.40    5481         rates_molecule_spon(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, Molecule const&, Field const&, Field const&, int, FitParams&) [15]
                0.23    1.18    5481/32886       Diagonalization(std::vector<Internal_state, std::allocator<Internal_state> >&, Molecule const&, Field const&, Field const&, FitParams&, Eigen::SelfAdjointEigenSolver<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*) [5]
                0.00    0.00    5481/712253      FitParams::LocateParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [28]
                0.00    0.00   21924/824222      Field::get_Field(Vecteur3D const&) const [37]
                0.00    0.00   26199/899966      Internal_state::Internal_state(Internal_state const&) [43]
                0.00    0.00    5481/345303      Internal_state::operator=(Internal_state const&) [58]
                0.00    0.00       2/8           void std::vector<type_codage_react, std::allocator<type_codage_react> >::_M_realloc_insert<type_codage_react const&>(__gnu_cxx::__normal_iterator<type_codage_react*, std::vector<type_codage_react, std::allocator<type_codage_react> > >, type_codage_react const&) [63]
                0.00    0.00   15841/916574      Internal_state::~Internal_state() [233]
                0.00    0.00   10962/21924       Eigen::DenseStorage<double, -1, -1, 1, 0>::~DenseStorage() [249]
                0.00    0.00    5481/423631      operator+(Vecteur3D const&, Vecteur3D const&) [236]
                0.00    0.00    5481/10962       Eigen::DenseStorage<std::complex<double>, -1, -1, -1, 0>::~DenseStorage() [255]
                0.00    0.00       2/8           void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [284]
-----------------------------------------------
                0.00    0.00       1/67350529     get_unit_vector_spontaneous_emission(gsl_rng const*, std::complex<double>*, Vecteur3D, int, FitParams&) [70]
                0.86    0.53 67350528/67350529     dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
[16]     3.2    0.86    0.53 67350529         Euler_angles(Vecteur3D) [16]
                0.41    0.00 67350529/68369995     atan2_approximation(float, float) [27]
                0.12    0.00 67350529/102792748     operator/(Vecteur3D const&, double) [29]
-----------------------------------------------
                                                 <spontanés>
[17]     2.8    1.19    0.00                 __fentry__ [17]
-----------------------------------------------
                             1019466             void Eigen::HouseholderSequence<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::CwiseUnaryOp<Eigen::internal::scalar_conjugate_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const>, 1>::evalTo<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) const <cycle 1> [42]
[18]     2.0    0.85    0.00 1019466         void Eigen::MatrixBase<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false> >::applyHouseholderOnTheLeft<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, -1, 1, false> >(Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1> const, -1, 1, false> const&, std::complex<double> const&, std::complex<double>*) <cycle 1> [18]
                              986580             dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
-----------------------------------------------
                0.79    0.00 1019466/1019466     void Eigen::internal::tridiagonalization_inplace<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) [13]
[19]     1.8    0.79    0.00 1019466         Eigen::internal::selfadjoint_rank2_update_selector<std::complex<double>, long long, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false>, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false>, 1>::run(std::complex<double>*, long long, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const&, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false> const&, std::complex<double> const&) [19]
                0.00    0.00 32622912/35220910     DataCards::DataCards(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [232]
-----------------------------------------------
                                                 <spontanés>
[20]     1.5    0.66    0.00                 sin [20]
-----------------------------------------------
                0.56    0.00  986580/986580      dipole_dot_Electric_Ffield(Vecteur3D const&, Vecteur3D const&, Vecteur3D const&, std::complex<double>&) <cycle 1> [8]
[21]     1.3    0.56    0.00  986580         Eigen::internal::general_matrix_vector_product<long long, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 1>, 1, false, std::complex<double>, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 0>, true, 0>::run(long long, long long, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 1> const&, Eigen::internal::const_blas_data_mapper<std::complex<double>, long long, 0> const&, std::complex<double>*, long long, std::complex<double>) [21]
-----------------------------------------------
                                                 <spontanés>
[22]     1.3    0.55    0.00                 cos [22]
-----------------------------------------------
                0.06    0.39  339822/339822      rates_molecule(std::vector<Internal_state, std::allocator<Internal_state> >&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, std::vector<Laser, std::allocator<Laser> > const&, double, double&, FitParams&, bool) [6]
[23]     1.0    0.06    0.39  339822         rates_single_molecule_laser_level(int, double, double&, double&, double&, double*, std::vector<Internal_state, std::allocator<Internal_state> >&, Internal_state&, Internal_state&, std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, std::vector<Molecule, std::allocator<Molecule> > const&, int, Field const&, Field const&, Laser const&, double, double&, FitParams&, bool, int, int, int, double, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*) [23]
                0.20    0.00  679644/712253      FitParams::LocateParam(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [28]
                0.07    0.00  339822/345303      Gamma_Level_from_diagonalized_dipole(std::vector<Internal_state, std::allocator<Internal_state> >&, Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>*, int) [31]
                0.04    0.01  339822/339822      effectif_dipole_local(std::complex<double> const*, Vecteur3D const&, Laser const&) [35]
                0.02    0.00  679644/824222      Field::get_Field(Vecteur3D const&) const [37]
                0.01    0.01  339822/339822      Laser::intensity_lab_axis(Vecteur3D const&) const [40]
                0.01    0.00  339822/350784      Laser::wave_vector() const [49]
                0.01    0.00  583628/899966      Internal_state::Internal_state(Internal_state const&) [43]
                0.00    0.00  243806/243806      rate_excitation(std::vector<type_codage_react, std::allocator<type_codage_react> >&, std::vector<double, std::allocator<double> >&, Laser const&, std::vector<Molecule, std::allocator<Molecule> > const&, int, int, Vecteur3D, double, double, double, double, double, Field const&, Field const&, int, Internal_state, bool) [51]
                0.00    0.00  339822/345303      Internal_state::operator=(Internal_state const&) [58]
                0.00    0.00  339822/600640      Atome::Atome(Atome const&) [235]
                0.00    0.00  339822/339822      operator*(Vecteur3D const&, Vecteur3D const&) [245]
                0.00    0.00  339822/339822      Laser::intensity_t_nanosecond(double) const [244]
                0.00    0.00  339822/339822      Laser::transmission_spectrum(double) const [243]
                0.00    0.00  339822/423631      operator+(Vecteur3D const&, Vecteur3D const&) [236]
                0.00    0.00  339822/339822      intensity_Convolution_linewidth(double, double, double, double, int, int, double, double, FitParams&) [242]
                0.00    0.00  339822/606361      Molecule::~Molecule() [234]
                0.00    0.00  243806/916574      Internal_state::~Internal_state() [233]
-----------------------------------------------
                0.00    0.44 1019466/1019466     void Eigen::internal::tridiagonalization_inplace<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> >(Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>&, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>&) [13]
[24]     1.0    0.00    0.44 1019466         void Eigen::internal::selfadjoint_product_impl<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false>, 17, false, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<std::complex<double>, std::complex<double> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const>, 0, true>::run<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false> >(Eigen::Block<Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1>, -1, 1, false>&, Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, -1, false> const&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<std::complex<double>, std::complex<double> >, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<std::complex<double> >, Eigen::Matrix<std::complex<double>, -1, 1, 0, -1, 1> const> const, Eigen::Block<Eigen::Block<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, -1, 1, true>, -1, 1, false> const> const&, std::complex<double> const&) [24]
                0.44    0.00 1019466/1019466     Eigen::internal::selfadjoint_matrix_vector_product<std::complex<double>, long long, 0, 1, false, false, 0>::run(long long, std::complex<double> const*, long long, std::complex<double> const*, std::complex<double>*, std::complex<double>) [25]
-----------------------------------------------
